smartphone,smartphoneLabel,country,countryLabel,releaseDate,os,osLabel
http://www.wikidata.org/entity/Q21279769,OnePlus X,http://www.wikidata.org/entity/Q148,Китай,2015-11-05T00:00:00Z,http://www.wikidata.org/entity/Q94,Q94
http://www.wikidata.org/entity/Q21279769,OnePlus X,http://www.wikidata.org/entity/Q148,Китай,2015-11-05T00:00:00Z,http://www.wikidata.org/entity/Q57265164,/e/OS
http://www.wikidata.org/entity/Q19953693,Microsoft Lumia 430,http://www.wikidata.org/entity/Q30,США,2015-03-19T00:00:00Z,http://www.wikidata.org/entity/Q15282750,Windows Phone 8.1
http://www.wikidata.org/entity/Q19406379,Microsoft Lumia 640,http://www.wikidata.org/entity/Q30,США,2015-03-02T00:00:00Z,http://www.wikidata.org/entity/Q15282750,Windows Phone 8.1
http://www.wikidata.org/entity/Q19406379,Microsoft Lumia 640,http://www.wikidata.org/entity/Q30,США,2015-03-02T00:00:00Z,http://www.wikidata.org/entity/Q18845397,Windows 10 Mobile
http://www.wikidata.org/entity/Q20714642,BQ Aquaris E4.5,http://www.wikidata.org/entity/Q29,Испания,2015-02-11T00:00:00Z,http://www.wikidata.org/entity/Q2595413,Ubuntu Touch
http://www.wikidata.org/entity/Q20714642,BQ Aquaris E4.5,http://www.wikidata.org/entity/Q29,Испания,2015-02-11T00:00:00Z,http://www.wikidata.org/entity/Q2846920,Android KitKat
http://www.wikidata.org/entity/Q20714642,BQ Aquaris E4.5,http://www.wikidata.org/entity/Q29,Испания,2015-02-11T00:00:00Z,http://www.wikidata.org/entity/Q17305518,Android Lollipop
http://www.wikidata.org/entity/Q19405892,Microsoft Lumia 435,http://www.wikidata.org/entity/Q30,США,2015-01-14T00:00:00Z,http://www.wikidata.org/entity/Q15282750,Windows Phone 8.1
http://www.wikidata.org/entity/Q11234177,Q11234177,http://www.wikidata.org/entity/Q17,Япония,2013-03-01T00:00:00Z,http://www.wikidata.org/entity/Q2846924,Android Jelly Bean
http://www.wikidata.org/entity/Q11198646,Q11198646,http://www.wikidata.org/entity/Q17,Япония,2013-02-22T00:00:00Z,http://www.wikidata.org/entity/Q2846924,Android Jelly Bean
http://www.wikidata.org/entity/Q11198651,Q11198651,http://www.wikidata.org/entity/Q17,Япония,2012-12-21T00:00:00Z,http://www.wikidata.org/entity/Q94,Q94
http://www.wikidata.org/entity/Q11234168,Q11234168,http://www.wikidata.org/entity/Q17,Япония,2012-12-14T00:00:00Z,http://www.wikidata.org/entity/Q2846919,Android Ice Cream Sandwich
http://www.wikidata.org/entity/Q11199191,Q11199191,http://www.wikidata.org/entity/Q17,Япония,2012-11-02T00:00:00Z,http://www.wikidata.org/entity/Q2846919,Android Ice Cream Sandwich
http://www.wikidata.org/entity/Q11228998,Q11228998,http://www.wikidata.org/entity/Q17,Япония,2012-11-02T00:00:00Z,http://www.wikidata.org/entity/Q2846919,Android Ice Cream Sandwich
http://www.wikidata.org/entity/Q11228698,Q11228698,http://www.wikidata.org/entity/Q17,Япония,2012-10-19T00:00:00Z,http://www.wikidata.org/entity/Q94,Q94
